Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Afghanistan,Kabul,Afġānistān افغانستان,Kabul كابل,Pashto/Dari (Arabic script)
Albania,Tirana,Shqipëria,Tirana,Albanian
Algeria,Algiers,Dzayer ⴷⵣⴰⵢⴻⵔ Al-Jazā'ir الجزائر,Dzayer ⴷⵣⴰⵢⴻⵔ Al-Jazā'ir الجزائر,Berber language (Tifinagh script) Arabic (Arabic script)
American Samoa[1],Pago Pago,Amerika Sāmoa American Samoa,Pago Pago Pago Pago,Samoan English
Andorra,Andorra la Vella,Andorra,Andorra la Vella,Catalan
Angola,Luanda,Angola Ngola,Luanda Lwanda,Portuguese  Kongo
Anguilla[2],The Valley,Anguilla,The Valley,English
Antigua and Barbuda,Saint John's,Aanteega an' Baabyuuda Antigua and Barbuda,Sen Jaan St. John's,Antiguan and Barbudan Creole English
Argentina,Buenos Aires,Argentina,Buenos Aires,Spanish
Armenia,Yerevan,Hayastán Հայաստան,Yerevan Երևան,Armenian (Armenian alphabet)
Aruba[3],Oranjestad,Aruba,Oranjestad,"Dutch, Papiamento"
Australia,Canberra,Australia,Canberra,English/Aboriginal languages
Austria,Vienna,Österreich,Wien,German
Åland[4],Mariehamn,Åland Ahvenanmaa,Mariehamn Maarianhamina,Swedish Finnish
Azerbaijan,Baku,Azərbaycan,Bakı,Azerbaijani
